iter	MultiClass
0	0.8778799559
1	0.7980730776
2	0.7627401854
3	0.7355742312
4	0.7249599743
5	0.7156288615
6	0.7095975071
7	0.7033341322
8	0.6992699971
9	0.6958379717
10	0.692238861
11	0.6891115585
12	0.6867645984
13	0.6835965448
14	0.6820617104
15	0.6784438572
16	0.6763916195
17	0.6750405422
18	0.6733437756
19	0.6706111294
20	0.6689634094
21	0.6679351656
22	0.6663638183
23	0.6651565426
24	0.6623507886
25	0.6615103707
26	0.6602749147
27	0.6587019504
28	0.6575232023
29	0.6550933208
30	0.6538175753
31	0.6523630747
32	0.6509047231
33	0.6494378879
34	0.6483784068
35	0.6476331952
36	0.6459845115
37	0.6449338907
38	0.6441290296
39	0.6428698003
40	0.6414966182
41	0.6405179823
42	0.639944775
43	0.6389700651
44	0.6380127629
45	0.6363012547
46	0.6347078288
47	0.6340076746
48	0.6335417072
49	0.6326651222
50	0.6320332537
51	0.6307834226
52	0.6300842063
53	0.6290751646
54	0.6282679691
55	0.6273012126
56	0.6267682169
57	0.6258353156
58	0.6250170351
59	0.624119532
60	0.6231878424
61	0.6225957234
62	0.6215049492
63	0.6209411918
64	0.6203653055
65	0.6197294677
66	0.6191984539
