iter	Passed	Remaining
0	303	20057
1	595	19339
2	885	18895
3	1225	19295
4	1514	18781
5	1804	18349
6	2093	17945
7	2382	17570
8	2658	17134
9	2930	16701
10	3225	16418
11	3545	16250
12	3841	15956
13	4181	15829
14	4460	15463
15	4736	15096
16	5018	14760
17	5290	14402
18	5580	14097
19	5869	13793
20	6155	13484
21	6458	13211
22	6742	12897
23	7050	12631
24	7345	12341
25	7632	12035
26	7906	11713
27	8204	11428
28	8484	11117
29	8787	10837
30	9103	10571
31	9418	10301
32	9727	10022
33	10009	9715
34	10289	9407
35	10585	9115
36	10871	8814
37	11144	8504
38	11415	8195
39	11693	7893
40	12002	7611
41	12293	7317
42	12644	7057
43	12945	6767
44	13225	6465
45	13506	6166
46	13802	5873
47	14140	5597
48	14427	5299
49	14702	4998
50	14971	4696
51	15307	4415
52	15598	4120
53	15878	3822
54	16158	3525
55	16438	3228
56	16723	2934
57	17016	2640
58	17296	2345
59	17576	2050
60	17871	1757
61	18146	1463
62	18416	1169
63	18724	877
64	19060	586
65	19343	293
66	19636	0
